id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta
7792429,09007722514014981000000000U8,ALIMENTOS,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,AVENIDA,GUELATAO,AVENIDA,GUELATAO,CALLE,SIN NOMBRE,AVENIDA,GUELATAO,66,,,,NA,,COLONIA,EJERCITO DE ORIENTE II,,,,9230,9,Ciudad de México,7,Iztapalapa,1,Iztapalapa,5592,1,5522506497,,,Fijo,19.38272099,-99.03835431,2019-11
7262173,09010722514004481000000000U5,ALIMENTOS,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,MEXICANOS,CALLE,PERUANOS,CALLE,CHILENOS,AVENIDA,CAMINO A SANTA FE,153,,,,0,,COLONIA,MARTIRES DE TACUBAYA,,,,1220,9,Ciudad de México,10,Álvaro Obregón,1,Álvaro Obregón,0173,1,,,,Fijo,19.38726642,-99.21286448,2019-11
717932,09007722219027632000000000U8,AGUAS JUGOS Y TACOS,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,NINGUNO,CIRCUITO,FRUTAS Y LEGUMBRES,EJE VIAL,6 SUR,CALLE,NINGUNO,220,MN,CENTRAL DE ABASTO,PLANTA BAJA,NA,,COLONIA,CENTRAL DE ABASTOS,CENTRAL DE ABASTO,CENTRAL DE ABASTOS  FRUTAS Y LEGUMBRES,T 135,9410,9,Ciudad de México,7,Iztapalapa,1,Iztapalapa,2475,5,,,,Fijo,19.37162977,-99.09481415,2014-12
847720,09003722514001921000000000U8,ALIMENTOS PREPARADOS Y BEBIDAS NO ALCOHOLICAS,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CIRCUITO,ESCOLAR,CIRCUITO,ESCOLAR,CIRCUITO,ESCOLAR,CIRCUITO,ESCOLAR,0,SN,,,0,,ZONA COMERCIAL,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,,,,4510,9,Ciudad de México,3,Coyoacán,1,Coyoacán,0770,7,,,,Semifijo,19.33501154,-99.18174178,2010-07
8704199,09002722514002641000000000U3,ALIMENTOANTOJITOS MEXICANOS BEBIDAS DON ANSELMO,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,COLORINES,CALLE,PRIMERA ROSAS MORENO,CALLE,PLUTARCO ELIAS CALLES,CALLE,HERMENEGILDO GALEANA,NA,SN,,,NA,,COLONIA,SANTIAGO AHUIZOTLA,,,,2750,9,Ciudad de México,2,Azcapotzalco,1,Azcapotzalco,1038,10,,,,Semifijo,19.47827477,-99.21157644,2019-11
1057739,09010722514000212000000000U8,ALA BURGER VENTA DE HAMBURGUESAS Y ENSALADAS,,722514,Restaurantes con servicio de preparación de tacos y tortas,6 a 10 personas,CALLE,ROSA DE CASTILLA,CALLE,FRANZ HALS,CALLE,ALFONSO CANO,CALLE,TIZIANO,41,,,,NA,,COLONIA,ALFONSO XIII,,,,1460,9,Ciudad de México,10,Álvaro Obregón,1,Álvaro Obregón,0629,10,,,,Fijo,19.37368475,-99.19578657999999,2014-12
933646,09014722514000201000000000U3,ALADINOS CAFE,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,EJE VIAL,7 SUR (FELIX CUEVAS),AVENIDA,COYOACAN,EJE VIAL,3 PONIENTE (AVENIDA COYOACAN),CALLE,ADOLFO PRIETO,1435,,,,17,17 Y 17 A,COLONIA,CENTRO URBANO PRESIDENTE ALEMAN,,,,3220,9,Ciudad de México,14,Benito Juárez,1,Benito Juárez,0736,3,5571776793,DIGITALEXPRESS@LIVE.COM.MX,,Fijo,19.37193128,-99.17129802,2014-12
7268311,09006722514003311000000000U3,ANSTOJITOS MARY,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,ORIENTE 253,AVENIDA,SUR 8,CALLE,SUR 12,PRIVADA,ORIENTE 251-B,0,SN,,,0,,COLONIA,AGRICOLA ORIENTAL,,,,8500,9,Ciudad de México,6,Iztacalco,1,Iztacalco,0202,14,,,,Fijo,19.39825687,-99.06463199000001,2019-11
678904,09005722514000931000000000U3,ANTOJITOS ELI,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,1559,CALLE,1561,EJE VIAL,5 NORTE (AVENIDA 412),CALLE,1561,21,,,,NA,,COLONIA,U.H SAN JUAN DE ARAGONVI SECC,,,,7918,9,Ciudad de México,5,Gustavo A. Madero,1,Gustavo A. Madero,2042,30,5563129431,,,Fijo,19.46383311,-99.05914878000002,2014-12
1025430,09015722219026292000000000U5,ANTOJITOS EL TIGRE,,722514,Restaurantes con servicio de preparación de tacos y tortas,6 a 10 personas,CALLE,REPUBLICA DE URUGUAY,CALLE,5 DE FEBRERO,CALLE,ISABEL LA CATOLICA,CALLE,VENUSTIANO CARRANZA,80,,,,NA,,COLONIA,CENTRO,,,,6010,9,Ciudad de México,15,Cuauhtémoc,1,Cuauhtémoc,0818,10,,,,Fijo,19.430318,-99.13516891,2010-07
9068763,09009722514001321000000000U8,ANTOJITOS EL RINCONCITO,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,MIGUEL HIDALGO,CALLE,PRIMER CALLEJON INDEPENDENCIA,CALLE,SEGUNDO CALLEJON INDEPENDENCIA,CALLE,AVENIDA INDEPENDENCIA,NA,SN,,,NA,,PUEBLO,SAN PEDRO ATOCPAN,,,,12200,9,Ciudad de México,9,Milpa Alta,29,San Pedro Atocpan,0454,11,,,,Fijo,19.20327377,-99.04464768,2019-11
643722,09017722219009151010000000U0,ANTOJITOS EL RETOÑITO,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,ORFEBRERIA,CALLE,TALABARTEROS,CALLE,PLOMEROS,CALLE,PLATERÍA,94,,,,NA,,COLONIA,AMP MICHOACANA,,,,15250,9,Ciudad de México,17,Venustiano Carranza,1,Venustiano Carranza,0174,3,,,,Fijo,19.44785597,-99.11535917999998,2010-07
9000080,09007722516000511000000000U4,ANTOJITOS EL PUENTE,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,NINGUNO,CALLE,NINGUNO,AVENIDA,TELECOMUNICACIONES,CALLE,NINGUNO,0,SN,,,0,,ZONA COMERCIAL,EJERCITO CONSTITUCIONALISTA,,,,9230,9,Ciudad de México,7,Iztapalapa,1,Iztapalapa,3558,35,,,,Fijo,19.39009718,-99.04567,2019-11
964608,09014722212009481000000000U3,ANTOJITOS EL PAISANO,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALZADA,SANTA CRUZ,CALLE,PROLONGACION JUAN ESCUTIA,CALLE,5 DE FEBRERO,CALLE,LIBERTAD,30,SN,,,0,443,COLONIA,SAN SIMON TICUMAC,,,,3660,9,Ciudad de México,14,Benito Juárez,1,Benito Juárez,0651,30,,,,Fijo,19.37125015,-99.14363528,2010-07
7714081,09005722514007331000000000U9,ALAMBRES Y CARNES ASADAS LA CARRETA,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALZADA,TICOMAN,CALLE,NINGUNO,CALLE,NINGUNO,CALLE,NINGUNO,NA,SN,MERCADO PUBLICO,PLANTA BAJA,168,,COLONIA,LINDAVISTA,MERCADO PUBLICO,MERCADO INDIOS VERDES,165 AL 168,7300,9,Ciudad de México,5,Gustavo A. Madero,1,Gustavo A. Madero,0756,15,5522421753,,,Fijo,19.49411003,-99.12156232999999,2019-11
7399887,09016722516000851000000000U5,ANTOJITOS EL COMALITO,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,LAGUNA DE SAN CRISTOBAL,CALLE,LAGO PATZCUARO,CALLE,LAGUNA GUZMAN,CALLE,LAGO PÁTZCUARO,213,,,,NA,,COLONIA,ANAHUAC I SECCION,,,,11320,9,Ciudad de México,16,Miguel Hidalgo,1,Miguel Hidalgo,0497,10,,,,Fijo,19.44384435,-99.17093943,2019-11
8277543,09005722514008751000000000U7,ANTOJERIA ANTOJITOS MEXICANOS,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,AVENIDA,TEPATITLAN,CALLE,ATOTONILCO,CALLE,CHOLULA,CALLE,TEOLOYUCAN,NA,SN,,,NA,,COLONIA,SAN FELIPE DE JESUS,,,,7510,9,Ciudad de México,5,Gustavo A. Madero,1,Gustavo A. Madero,3144,5,,,,Fijo,19.49781331,-99.07009035,2019-11
674173,09005722514006601000000000U6,ANTOJERIA ANNY-JU,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,ITURBIDE,CERRADA,CORREGIDOR M. DOMINGUEZ,CALLE,PROGRESO,EJE VIAL,5 NORTE (CALZADA SAN JUAN DE ARAGÓN),62,,,,NA,,COLONIA,VILLA GUSTAVO A MADERO,,,,7050,9,Ciudad de México,5,Gustavo A. Madero,1,Gustavo A. Madero,128A,5,,,,Fijo,19.48355317,-99.11239893,2014-12
843307,09007722514000941000000000U8,ANTOJITOS DOÑA MELE,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,VILLA FRATI,CALLE,VILLA BRANA,CERRADA,VILLA BRUSVAL,CALLE,VILLA BRANA,18,MANZANA 119P LOTE 18,,,NA,,COLONIA,DESARROLLO URBANO QUETZALCOATL,,,,9700,9,Ciudad de México,7,Iztapalapa,1,Iztapalapa,3064,16,,,,Fijo,19.33282245,-99.03750617,2010-07
9200715,09011722516000511000000000U6,ANTOJITOS DOÑA LEONOR,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,CANAL SECO,CERRADA,IZTACCIHUATL,CALLE,DIAGONAL PLUTARCO ELIAS CALLES,CALLE,DIAGONAL PLUTARCO ELÍAS CALLES,NA,SN,,,NA,,BARRIO,SAN BARTOLOME,,,,13600,9,Ciudad de México,11,Tláhuac,11,San Andrés Mixquic,1041,12,,,,Fijo,19.22485632,-98.96188364,2019-11
1011095,09008722219000881000000000U0,ANTOJITOS DOÑA GLORIA,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,ALVARO OBREGON,CALLE,CAMINO REAL DE CONTRERAS,CALLE,LOS POLLITOS,CALLE,CAMINO REAL DE CONTRERAS,384,,MERCADO PUBLICO,PLANTA BAJA,2,,COLONIA,LA CONCEPCION,MERCADO PUBLICO,MERCADO LA CRUZ,2,10839,9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0353,38,5554469283,,,Fijo,19.30546099,-99.23477943,2010-07
9362643,09011722514004261000000000U9,ANTOJITOS DOÑA GLORIA,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,AGUSTIN REZA,CALLE,RUPERTO PEREZ DE LEON,CERRADA,AMADO CAMACHO,AVENIDA,TLÁHUAC,NA,SN,,,NA,,COLONIA,LA CONCHITA,,,,13360,9,Ciudad de México,11,Tláhuac,1,Tláhuac,0128,23,,,,Fijo,19.29665039,-99.02940066,2021-05
782414,09005722212016181000000000U8,ALAMBRES LENCHO,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,ERNESTO ELORDUY,CALLE,STRAUSS,CALLE,MEYERBEER,AVENIDA,INSURGENTES NORTE,NA,SN,,,NA,,COLONIA,VALLEJO,,,,7870,9,Ciudad de México,5,Gustavo A. Madero,1,Gustavo A. Madero,174A,25,,,,Semifijo,19.46772337,-99.1385526,2010-07
868836,09004722514000551000000000U2,ALAMBRES OCAMPO,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,OCAMPO,CERRADA,SEGUNDA DE OCAMPO,CALLE,HIDALGO,PROLONGACION,PROLONGACION HILA,10,,,,0,,COLONIA,SAN LORENZO ACOPILCO,,,,5410,9,Ciudad de México,4,Cuajimalpa de Morelos,20,San Lorenzo Acopilco,0246,40,,,,Fijo,19.33028136,-99.327272,2010-07
8272887,09005722514010431000000000U2,AGUAS CON LAS TORTAS,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,EJE VIAL,4 NORTE (EUSKARO),CALLE,UNION,CALLE,LA CONSTANCIA,CALLE,RÍO BLANCO,100,,,,NA,,COLONIA,INDUSTRIAL,,,,7800,9,Ciudad de México,5,Gustavo A. Madero,1,Gustavo A. Madero,1415,8,,,,Fijo,19.4796889,-99.12358894,2019-11
830860,09007722514001161000000000U2,ANTOJITOS COMARICO,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,FLOR CAMPOMO,CALLE,ROSA,CALLE,MOCTEZUMA (AHUIZOTL),CALLE,NORMA,18,21,,,NA,,COLONIA,2A AMPLIACION SANTIAGO ACAHUALTEPEC,,,,9640,9,Ciudad de México,7,Iztapalapa,1,Iztapalapa,2600,2,5512729305,,,Fijo,19.34927052,-99.01543964999999,2014-12
672133,09005722514003951001000000U8,ANTOJITOS DON PEPE,,722514,Restaurantes con servicio de preparación de tacos y tortas,6 a 10 personas,CALLE,12,CALLE,28,CALLE,PROGRESO NACIONAL,CALLE,11,116,,,,0,,COLONIA,PROGRESO NACIONAL,,,,7600,9,Ciudad de México,5,Gustavo A. Madero,1,Gustavo A. Madero,0440,12,,,,Fijo,19.52023036,-99.15948485,2014-12
673180,09005722514002211000000000U8,ANTOJITOS DON LEON,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,AHUEHUETES,AVENIDA,PUENTE DE CALDERON,PRIVADA,AHUEHUETES,CALLE,GUANAJUATO,105,,,,NA,,COLONIA,SAN BARTOLO ATEPEHUACAN,,,,7730,9,Ciudad de México,5,Gustavo A. Madero,1,Gustavo A. Madero,092A,19,,,,Fijo,19.49377698,-99.14534263,2014-12
1000580,09015722212018941000000000U2,ANTOJITOS DIAZ,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,JUAN JOSE BAZ,CALLE,MISIONEROS,CALLE,RAMON CORONA,CALLE,MISIONEROS,12,,,,NA,M,COLONIA,CENTRO (ÁREA 9),,,,6090,9,Ciudad de México,15,Cuauhtémoc,1,Cuauhtémoc,0911,25,5555225999,,,Fijo,19.42684484,-99.12770133,2010-07
9210079,09013722514003241000000000U8,ANTOJITOS DE RENATA,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,DALIA,CALLE,NUEVO LEON,CALLE,PINO,CERRADA,NINGUNO,0,SN,,,0,,BARRIO,SAN ESTEBAN,,,,16080,9,Ciudad de México,13,Xochimilco,1,Xochimilco,1120,6,,,,Fijo,19.26190148,-99.09892872,2019-11
6956432,09005722514009751000000000U6,ANTOJITOS DEL RECUERDO,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,AVENIDA,VOLCAN IZTACCIHUATL,CALLE,NEVADO DE TOLUCA,CALLE,VOLCAN DE COLIMA,CALLE,NEVADO DE TOLUCA,88,,,,NA,,COLONIA,LA PRADERA,,,,7500,9,Ciudad de México,5,Gustavo A. Madero,1,Gustavo A. Madero,1716,12,,,,Fijo,19.479169980000002,-99.066406,2019-11
1040700,09013722219001531000000000U0,ANTOJITOS DE LA ROSA,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,HERMENEGILDO GALEANA (NIÑOS HEROES),CALLE,AVENIDA DE LA PAZ,CALLE,MELCHOR OCAMPO,CALLE,IGNACIO ZARAGOZA,22,,,,0,,COLONIA,CALYEQUITA,,,,16750,9,Ciudad de México,13,Xochimilco,1,Xochimilco,0565,6,,,,Fijo,19.25208825,-99.01192538,2010-07
